fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
549b6a9557d1fedf77b5a541a78ed920,REGULAR,"-(rank(ts_mean(oth561_basic_stat_buy_user_num, 20)) - rank(ts_mean(oth561_basic_stat_sell_user_num, 20)))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-(rank(ts_mean(oth561_basic_stat_buy_user_num, 20)) - rank(ts_mean(oth561_basic_stat_sell_user_num, 20)))"", ""type"": ""REGULAR""}",BrczLlD5hPa0cZ0bkrgdi,COMPLETE,1776695294.6512847,mLx65aap,6126335,2.12,0.1923,1.22,,
5696dec9dedf35f77f0a39b54e916c33,REGULAR,"-ts_mean(rank(oth561_basic_stat_buy_user_num - oth561_basic_stat_sell_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_buy_user_num - oth561_basic_stat_sell_user_num), 20)"", ""type"": ""REGULAR""}",UqI6z3DA4yybphp2JQYOvr,COMPLETE,1776695294.960832,3qnVp00z,8038136,2.24,0.187,1.5,,
c28a9a33d0427e85b3f18fe8bdc5f5a3,REGULAR,"-ts_decay_linear(rank(oth561_basic_stat_buy_user_num) - rank(oth561_basic_stat_sell_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear(rank(oth561_basic_stat_buy_user_num) - rank(oth561_basic_stat_sell_user_num), 20)"", ""type"": ""REGULAR""}",1kRwSBg354mzc7rKpkqQllq,COMPLETE,1776695295.28082,58qgpJJz,237851,0.07,0.4681,0.01,,
327bed683a62b9143aa514526b396e04,REGULAR,"ts_mean(rank(oth561_basic_stat_sell_user_num) - rank(oth561_basic_stat_buy_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_mean(rank(oth561_basic_stat_sell_user_num) - rank(oth561_basic_stat_buy_user_num), 20)"", ""type"": ""REGULAR""}",2Z9NN28KY4C79u81g9vY0rIC,COMPLETE,1776695295.597781,kqLgPaaO,3779601,1.27,0.1876,0.58,,
85a581faee37a3a6fce43dc3278c2231,REGULAR,"-ts_mean(rank(oth561_basic_stat_buy_user_num) - rank(oth561_basic_stat_sell_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_buy_user_num) - rank(oth561_basic_stat_sell_user_num), 20)"", ""type"": ""REGULAR""}",3rzFKQf7P4tR9me164ql4duS,COMPLETE,1776695297.667805,qMm0N75K,3779601,1.27,0.1876,0.58,,
2b485618a02b5472d069ae9f19a0c1fa,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num) - rank(oth561_basic_stat_sell_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num) - rank(oth561_basic_stat_sell_user_num), 20)"", ""type"": ""REGULAR""}",2C4TtX6Aw4l88x7OSko0Ni,COMPLETE,1776695297.979397,d5l1Za9x,3676117,1.26,0.1871,0.57,,
b8ab14fde69bc47bcffe4c303f61e093,REGULAR,"-ts_mean(rank(oth561_basic_stat_buy_user_num) / (rank(oth561_basic_stat_sell_user_num) + 0.1), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_buy_user_num) / (rank(oth561_basic_stat_sell_user_num) + 0.1), 20)"", ""type"": ""REGULAR""}",4oBB7pb864x99xiVm4eKfCd,COMPLETE,1776695298.2875195,88KPpNGV,2454311,0.82,0.1829,0.31,,
72d5cea94af4bd51a5a4df6e35c5530d,REGULAR,"-rank(ts_mean(oth561_basic_stat_buy_user_num, 20)) + rank(ts_mean(oth561_basic_stat_sell_user_num, 20))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-rank(ts_mean(oth561_basic_stat_buy_user_num, 20)) + rank(ts_mean(oth561_basic_stat_sell_user_num, 20))"", ""type"": ""REGULAR""}",oYJkH1Wc5a2c8chalYkzLo,COMPLETE,1776695298.5965936,N15VbPLX,6126335,2.12,0.1923,1.22,,
