fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
55dbccf734ffa8e39d0700ca55067447,REGULAR,"-(oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 40)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 40) + 0.01)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-(oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 40)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 40) + 0.01)"", ""type"": ""REGULAR""}",1wyfMKfef4gobQq14fwecc9F,COMPLETE,1776691546.8862183,A1OvnEAd,-4253204,-0.8,0.7797,-0.19,,
f5c91bcb13813d3fe3026cdce939f11f,REGULAR,"-group_zscore(ts_mean(oth561_basic_stat_net_buy_user_num, 10), sector)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-group_zscore(ts_mean(oth561_basic_stat_net_buy_user_num, 10), sector)"", ""type"": ""REGULAR""}",37o0FFXF4kTbD614HYFEJyz,COMPLETE,1776691547.2077382,vRJ25PQv,12506691,1.86,0.2193,1.43,,
6f12d119604c57be38dc4c0f8f9e8f29,REGULAR,"-group_zscore(ts_mean(oth561_basic_stat_net_buy_user_num, 10), subindustry)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-group_zscore(ts_mean(oth561_basic_stat_net_buy_user_num, 10), subindustry)"", ""type"": ""REGULAR""}",1RdoAf3rp51WaZj15BJocrCx,COMPLETE,1776691547.5281858,gJoZmL20,9344056,2.08,0.1867,1.5,,
d179e44f63a8c651b4cf244963eafedf,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5)"", ""type"": ""REGULAR""}",1Vd3D05bu4ECaD6oMqrhFXW,COMPLETE,1776691593.974494,N15VnEpg,-2818969,-0.69,0.5499,-0.16,,
093992b30b1dc70b5a9a32f4368e7e46,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 30)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 30) + 0.01), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 30)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 30) + 0.01), 5)"", ""type"": ""REGULAR""}",FADW2fTe4qAaDgY1TwEMiP,COMPLETE,1776691594.2682884,zqJb579d,-923971,-0.22,0.528,-0.03,,
b415eb74883b9ed1d0ce1a76a664f3a8,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 10)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 10)"", ""type"": ""REGULAR""}",k3io01AZ5ajbcwdLEjGa8l,COMPLETE,1776691594.5854807,1YnZo37M,-2917384,-0.76,0.4726,-0.19,,
e2b89483e781c9b9cf06a8279b6ba877,REGULAR,"-ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 10), 60)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 10), 60)"", ""type"": ""REGULAR""}",yqgsq9wQ56J9sInHjFLoWy,COMPLETE,1776691717.2491064,gJoZxOYm,-3903433,-1.23,0.2554,-0.49,,
84001afdc049697ee0bb1547cbf69a48,REGULAR,"-ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 20), 80)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 20), 80)"", ""type"": ""REGULAR""}",484y1j6yz4tbc5IAV8e8tQJ,COMPLETE,1776691717.6907933,XgYJ1Qja,-1261756,-0.38,0.1947,-0.1,,
fdf873c7c9a18469d0c95101088c5186,REGULAR,"scale(-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5))",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""scale(-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5))"", ""type"": ""REGULAR""}",1QwRKt4T45jgbkNQ3FsWceA,COMPLETE,1776691718.0032756,blWOvZYK,-2851725,-0.7,0.5497,-0.16,,
37df9806b1ced8b508e3e35bdd1180e7,REGULAR,"-winsorize(ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5), std=3)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-winsorize(ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5), std=3)"", ""type"": ""REGULAR""}",4vg89u5yD56ncrglJ0tDLlf,COMPLETE,1776691733.5009754,blWOv5M6,-3088445,-0.77,0.5451,-0.19,,
