fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
c8376632cd6c7db3f7cfbccbd23d7734,REGULAR,"-ts_decay_linear(rank(oth561_basic_stat_net_buy_user_num), 60)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear(rank(oth561_basic_stat_net_buy_user_num), 60)"", ""type"": ""REGULAR""}",4BPBdmdzh561ccpqCDYCDVA,COMPLETE,1776694987.0738578,KPwrGebk,4844038,1.13,0.3802,0.41,,
ee05d62c62eda3513692dffc803136ab,REGULAR,"ts_mean(rank(oth561_basic_stat_sell_rebalancing_price_avg), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_mean(rank(oth561_basic_stat_sell_rebalancing_price_avg), 20)"", ""type"": ""REGULAR""}",4tHT2u42i4vOcox1awSChDL,COMPLETE,1776694987.3667738,Gr3OGVwx,-13033138,-3.03,0.1634,-2.75,,
df19574ba0a554eaa34a8b431b282219,REGULAR,"-ts_mean(rank(oth561_basic_stat_buy_rebalancing_price_avg), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_buy_rebalancing_price_avg), 20)"", ""type"": ""REGULAR""}",2f5vJzgog53rctUiCHz3scE,COMPLETE,1776694987.6668222,LLlZGe1a,-4744924,-1.03,0.164,-0.56,,
b09d05a4776d7ad18bdd22002fd3a34c,REGULAR,"trade_when(oth561_basic_stat_net_buy_user_num < 0, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""trade_when(oth561_basic_stat_net_buy_user_num < 0, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)"", ""type"": ""REGULAR""}",279GTnd4W4Rgb3l8GfUZr1O,COMPLETE,1776694987.984839,1YnZpvdz,0,0.0,0.0,,,
4be5d0775f8815dd7ef2d6289541ff43,REGULAR,"-ts_mean(rank(oth561_basic_stat_buy_rebalancing_price_avg / (oth561_basic_stat_sell_rebalancing_price_avg + 1)), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_buy_rebalancing_price_avg / (oth561_basic_stat_sell_rebalancing_price_avg + 1)), 20)"", ""type"": ""REGULAR""}",3EJ2lkcEl4YKb0arMtNqj7G,COMPLETE,1776695051.344924,blWOQMxp,-6225941,-1.62,0.165,-1.01,,
2b014f08d5c98c34f258f92f8169687d,REGULAR,"trade_when(oth561_basic_stat_buy_rebalancing_price_avg > oth561_basic_stat_sell_rebalancing_price_avg, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""trade_when(oth561_basic_stat_buy_rebalancing_price_avg > oth561_basic_stat_sell_rebalancing_price_avg, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)"", ""type"": ""REGULAR""}",2qWc4vg34uhaR1VLAPWeUU,COMPLETE,1776695051.6497798,1YnZpLGX,11199112,2.42,0.1518,2.12,,
130c57328354ce9224ee7d54b7bcd03e,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 60)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 60)"", ""type"": ""REGULAR""}",29NxSee9h4Bd979182YiIcis,COMPLETE,1776695051.9911704,gJoZMlrO,7812582,1.67,0.1291,1.32,,
773ebe11e9b277e71707e791ce6cd02b,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 100)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 100)"", ""type"": ""REGULAR""}",3Fk3H11CZ52H8CMMIBxt4Ww,COMPLETE,1776695052.34859,Jj5QGmol,5796549,1.29,0.1247,0.89,,
